"","second_name","first_name","team_name","position","mean_points_last_5","difficulty_next_5","t_score","t_score_cpt"
"105","Sessegnon","Ryan","Fulham","Midfielder",3.2,3,"1.07","1.60"
"106","Milner","James","Liverpool","Midfielder",3.2,3,"1.07","1.07"
"107","Pogba","Paul","Man Utd","Midfielder",3.2,3,"1.07","1.60"
"108","Rashford","Marcus","Man Utd","Forward",3.2,3,"1.07","1.60"
"109","Cook","Steve","Bournemouth","Defender",3.8,3.6,"1.06","0.95"
"110","Smith","Adam","Bournemouth","Defender",3.8,3.6,"1.06","0.95"
"111","Digne","Lucas","Everton","Defender",3.6,3.4,"1.06","1.80"
"112","Ings","Danny","Southampton","Forward",3.4,3.2,"1.06","1.70"
"113","Deulofeu","Gerard","Watford","Midfielder",3.6,3.4,"1.06","0.90"
"114","Lerma","Jefferson","Bournemouth","Midfielder",3.6,3.6,"1.00","0.90"
"115","Townsend","Andros","Crystal Palace","Midfielder",3,3,"1.00","0.75"
"116","Lössl","Jonas","Huddersfield","Goalkeeper",2.8,2.8,"1.00","0.93"
"117","Gray","Demarai","Leicester","Midfielder",2.8,2.8,"1.00","0.93"
"118","Alexander-Arnold","Trent","Liverpool","Defender",3,3,"1.00","1.00"
"119","Walker","Kyle","Man City","Defender",3.2,3.2,"1.00","1.07"
"120","Mata","Juan","Man Utd","Midfielder",3,3,"1.00","1.50"
"121","Soares","Cédric","Southampton","Defender",3.2,3.2,"1.00","1.60"
"122","Davies","Ben","Spurs","Defender",3,3,"1.00","0.75"
"123","Mariappa","Adrian","Watford","Defender",3.4,3.4,"1.00","0.85"
"124","Castro Otto","Jonathan","Wolves","Defender",2.6,2.6,"1.00","1.30"
"125","Rodríguez Ledesma","Pedro","Chelsea","Midfielder",3.2,3.4,"0.94","0.80"
"126","Anício Caldeira Duarte","Bernard","Everton","Midfielder",3.2,3.4,"0.94","1.60"
"127","Hoedt","Wesley","Southampton","Defender",3,3.2,"0.94","1.50"
"128","Xhaka","Granit","Arsenal","Midfielder",2.8,3,"0.93","0.93"
"129","Mkhitaryan","Henrikh","Arsenal","Midfielder",2.8,3,"0.93","0.93"
"130","Torreira","Lucas","Arsenal","Midfielder",2.8,3,"0.93","0.93"
"131","Harris","Kadeem","Cardiff","Midfielder",2.6,2.8,"0.93","0.87"
"132","Jorgensen","Mathias","Huddersfield","Defender",2.6,2.8,"0.93","0.87"
"133","Evans","Jonny","Leicester","Defender",2.6,2.8,"0.93","0.87"
"134","Wijnaldum","Georginio","Liverpool","Midfielder",2.8,3,"0.93","0.93"
"135","Ritchie","Matt","Newcastle","Midfielder",2.2,2.4,"0.92","1.10"
"136","Shelvey","Jonjo","Newcastle","Midfielder",2.2,2.4,"0.92","1.10"
"137","Diamé","Mohamed","Newcastle","Midfielder",2.2,2.4,"0.92","1.10"
"138","Muto","Yoshinori","Newcastle","Forward",2.2,2.4,"0.92","1.10"
"139","Boly","Willy","Wolves","Defender",2.4,2.6,"0.92","1.20"
"140","Kanté","N'Golo","Chelsea","Midfielder",3,3.4,"0.88","0.75"
"141","Zouma","Kurt","Everton","Defender",3,3.4,"0.88","1.50"
"142","Cathcart","Craig","Watford","Defender",3,3.4,"0.88","0.75"
"143","Masina","Adam","Watford","Defender",3,3.4,"0.88","0.75"
"144","Leno","Bernd","Arsenal","Goalkeeper",2.6,3,"0.87","0.87"
"145","De Gea","David","Man Utd","Goalkeeper",2.6,3,"0.87","1.30"
"146","Sánchez","Alexis","Man Utd","Midfielder",2.6,3,"0.87","1.30"
"147","Dier","Eric","Spurs","Midfielder",2.6,3,"0.87","0.65"
"148","Antonio","Michail","West Ham","Midfielder",2.2,2.6,"0.85","0.44"
"149","Bennett","Ryan","Wolves","Defender",2.2,2.6,"0.85","1.10"
"150","Coady","Conor","Wolves","Defender",2.2,2.6,"0.85","1.10"
"151","Costa","Hélder","Wolves","Midfielder",2.2,2.6,"0.85","1.10"
"152","King","Joshua","Bournemouth","Forward",3,3.6,"0.83","0.75"
"153","Gabbiadini","Manolo","Southampton","Forward",2.6,3.2,"0.81","1.30"
"154","McArthur","James","Crystal Palace","Midfielder",2.4,3,"0.80","0.60"
"155","Hadergjonaj","Florent","Huddersfield","Defender",2.2,2.8,"0.79","0.73"
"156","Hernández Balcázar","Javier","West Ham","Forward",2,2.6,"0.77","0.40"
"157","Diangana","Grady","West Ham","Midfielder",2,2.6,"0.77","0.40"
"158","Santos Moutinho","João Filipe Iria","Wolves","Midfielder",2,2.6,"0.77","1.00"
"159","Success Ajayi","Isaac","Watford","Forward",2.6,3.4,"0.76","0.65"
"160","Stephens","Jack","Southampton","Defender",2.4,3.2,"0.75","1.20"
"161","Redmond","Nathan","Southampton","Midfielder",2.4,3.2,"0.75","1.20"
"162","Iwobi","Alex","Arsenal","Midfielder",2.2,3,"0.73","0.73"
"163","Zaha","Wilfried","Crystal Palace","Forward",2.2,3,"0.73","0.55"
"164","Kouyaté","Cheikhou","Crystal Palace","Midfielder",2.2,3,"0.73","0.55"
"165","Seri","Jean Michael","Fulham","Midfielder",2.2,3,"0.73","1.10"
"166","Mitrovic","Aleksandar","Fulham","Forward",2.2,3,"0.73","1.10"
"167","Wood","Chris","Burnley","Forward",2,2.8,"0.71","1.00"
"168","Frello Filho","Jorge Luiz","Chelsea","Midfielder",2.4,3.4,"0.71","0.60"
"169","Walcott","Theo","Everton","Midfielder",2.4,3.4,"0.71","1.20"
"170","Mooy","Aaron","Huddersfield","Midfielder",2,2.8,"0.71","0.67"
"171","Billing","Philip","Huddersfield","Midfielder",2,2.8,"0.71","0.67"
"172","Morgan","Wes","Leicester","Defender",2,2.8,"0.71","0.67"
"173","Mendy","Nampalys","Leicester","Midfielder",2,2.8,"0.71","0.67"
"174","Jahanbakhsh","Alireza","Brighton","Midfielder",1.8,2.6,"0.69","0.60"
"175","Bertrand","Ryan","Southampton","Defender",2.2,3.2,"0.69","1.10"
"176","Rice","Declan","West Ham","Defender",1.8,2.6,"0.69","0.36"
"177","Diop","Issa","West Ham","Defender",1.8,2.6,"0.69","0.36"
"178","Holding","Rob","Arsenal","Defender",2,3,"0.67","0.67"
"179","Cook","Lewis","Bournemouth","Midfielder",2.4,3.6,"0.67","0.60"
"180","Taylor","Charlie","Burnley","Defender",1.8,2.8,"0.64","0.90"
"181","Westwood","Ashley","Burnley","Midfielder",1.8,2.8,"0.64","0.90"
"182","Lennon","Aaron","Burnley","Midfielder",1.8,2.8,"0.64","0.90"
"183","Etheridge","Neil","Cardiff","Goalkeeper",1.8,2.8,"0.64","0.60"
"184","Maddison","James","Leicester","Midfielder",1.8,2.8,"0.64","0.60"
"185","Vardy","Jamie","Leicester","Forward",1.8,2.8,"0.64","0.60"
"186","Iheanacho","Kelechi","Leicester","Forward",1.8,2.8,"0.64","0.60"
"187","Lemina","Mario","Southampton","Midfielder",2,3.2,"0.62","1.00"
"188","Zabaleta","Pablo","West Ham","Defender",1.6,2.6,"0.62","0.32"
"189","Mustafi","Shkodran","Arsenal","Defender",1.8,3,"0.60","0.60"
"190","Firmino","Roberto","Liverpool","Forward",1.8,3,"0.60","0.60"
"191","Lukaku","Romelu","Man Utd","Forward",1.8,3,"0.60","0.90"
"192","Gueye","Idrissa","Everton","Midfielder",2,3.4,"0.59","1.00"
"193","Calvert-Lewin","Dominic","Everton","Forward",2,3.4,"0.59","1.00"
"194","Tavares Gomes","André Filipe","Everton","Midfielder",2,3.4,"0.59","1.00"
"195","Ki","Sung-yueng","Newcastle","Midfielder",1.4,2.4,"0.58","0.70"
"196","Cork","Jack","Burnley","Midfielder",1.6,2.8,"0.57","0.80"
"197","Hoilett","David Junior","Cardiff","Midfielder",1.6,2.8,"0.57","0.53"
"198","Kongolo","Terence","Huddersfield","Defender",1.6,2.8,"0.57","0.53"
"199","Hennessey","Wayne","Crystal Palace","Goalkeeper",1.6,3,"0.53","0.40"
"200","Young","Ashley","Man Utd","Defender",1.6,3,"0.53","0.80"
"201","Matic","Nemanja","Man Utd","Midfielder",1.6,3,"0.53","0.80"
"202","Son","Heung-Min","Spurs","Midfielder",1.6,3,"0.53","0.40"
"203","Winks","Harry","Spurs","Midfielder",1.6,3,"0.53","0.40"
"204","Mee","Ben","Burnley","Defender",1.4,2.8,"0.50","0.70"
"205","Defour","Steven","Burnley","Midfielder",1.4,2.8,"0.50","0.70"
"206","Ecuele Manga","Bruno","Cardiff","Defender",1.4,2.8,"0.50","0.47"
"207","Gunnarsson","Aron","Cardiff","Midfielder",1.4,2.8,"0.50","0.47"
"208","Albrighton","Marc","Leicester","Midfielder",1.4,2.8,"0.50","0.47"
"209","Welbeck","Danny","Arsenal","Forward",1.4,3,"0.47","0.47"
"210","Loftus-Cheek","Ruben","Chelsea","Midfielder",1.6,3.4,"0.47","0.40"
"211","Sakho","Mamadou","Crystal Palace","Defender",1.4,3,"0.47","0.35"
"212","Wan-Bissaka","Aaron","Crystal Palace","Defender",1.4,3,"0.47","0.35"
"213","Zambo Anguissa","André-Frank","Fulham","Midfielder",1.4,3,"0.47","0.70"
"214","Vietto","Luciano","Fulham","Forward",1.4,3,"0.47","0.70"
"215","Tavares","Fabio Henrique","Liverpool","Midfielder",1.4,3,"0.47","0.47"
"216","Holebas","José","Watford","Defender",1.6,3.4,"0.47","0.40"
"217","Hughes","Will","Watford","Midfielder",1.6,3.4,"0.47","0.40"
"218","Knockaert","Anthony","Brighton","Midfielder",1.2,2.6,"0.46","0.40"
"219","Stephens","Dale","Brighton","Midfielder",1.2,2.6,"0.46","0.40"
"220","Cresswell","Aaron","West Ham","Defender",1.2,2.6,"0.46","0.24"
"221","Snodgrass","Robert","West Ham","Midfielder",1.2,2.6,"0.46","0.24"
"222","Jota","Diogo","Wolves","Midfielder",1.2,2.6,"0.46","0.60"
"223","Traoré","Adama","Wolves","Midfielder",1.2,2.6,"0.46","0.60"
"224","Daniels","Charlie","Bournemouth","Defender",1.6,3.6,"0.44","0.40"
"225","Kompany","Vincent","Man City","Defender",1.4,3.2,"0.44","0.47"
"226","Højbjerg","Pierre-Emile","Southampton","Midfielder",1.4,3.2,"0.44","0.70"
"227","Elyounoussi","Mohamed","Southampton","Midfielder",1.4,3.2,"0.44","0.70"
"228","Lowton","Matthew","Burnley","Defender",1.2,2.8,"0.43","0.60"
"229","Long","Kevin","Burnley","Defender",1.2,2.8,"0.43","0.60"
"230","Morrison","Sean","Cardiff","Defender",1.2,2.8,"0.43","0.40"
"231","Depoitre","Laurent","Huddersfield","Forward",1.2,2.8,"0.43","0.40"
"232","Mounie","Steve","Huddersfield","Forward",1.2,2.8,"0.43","0.40"
"233","Durm","Erik","Huddersfield","Defender",1.2,2.8,"0.43","0.40"
"234","Ghezzal","Rachid","Leicester","Midfielder",1.2,2.8,"0.43","0.40"
"235","Giroud","Olivier","Chelsea","Forward",1.4,3.4,"0.41","0.35"
"236","Kovacic","Mateo","Chelsea","Midfielder",1.4,3.4,"0.41","0.35"
"237","Lookman","Ademola","Everton","Midfielder",1.4,3.4,"0.41","0.70"
"238","Tosun","Cenk","Everton","Forward",1.4,3.4,"0.41","0.70"
"239","van Aanholt","Patrick","Crystal Palace","Defender",1.2,3,"0.40","0.30"
"240","Meyer","Max","Crystal Palace","Midfielder",1.2,3,"0.40","0.30"
"241","Ayew","Jordan","Crystal Palace","Forward",1.2,3,"0.40","0.30"
"242","Smalling","Chris","Man Utd","Defender",1.2,3,"0.40","0.60"
"243","Lindelöf","Victor","Man Utd","Defender",1.2,3,"0.40","0.60"
"244","Rose","Danny","Spurs","Defender",1.2,3,"0.40","0.30"
"245","Aurier","Serge","Spurs","Defender",1.2,3,"0.40","0.30"
"246","Stanislas","Junior","Bournemouth","Midfielder",1.4,3.6,"0.39","0.35"
"247","Obiang","Pedro","West Ham","Midfielder",1,2.6,"0.38","0.20"
"248","Gündogan","Ilkay","Man City","Midfielder",1.2,3.2,"0.37","0.40"
"249","Brady","Robbie","Burnley","Midfielder",1,2.8,"0.36","0.50"
"250","Barnes","Ashley","Burnley","Forward",1,2.8,"0.36","0.50"
"251","Bennett","Joe","Cardiff","Defender",1,2.8,"0.36","0.33"
"252","Mbenza","Isaac","Huddersfield","Midfielder",1,2.8,"0.36","0.33"
"253","Maguire","Harry","Leicester","Defender",1,2.8,"0.36","0.33"
"254","Amartey","Daniel","Leicester","Midfielder",1,2.8,"0.36","0.33"
"255","Mina","Yerry","Everton","Defender",1.2,3.4,"0.35","0.60"
"256","Monreal","Nacho","Arsenal","Defender",1,3,"0.33","0.33"
"257","Tomkins","James","Crystal Palace","Defender",1,3,"0.33","0.25"
"258","Schlupp","Jeffrey","Crystal Palace","Defender",1,3,"0.33","0.25"
"259","Cairney","Tom","Fulham","Midfielder",1,3,"0.33","0.50"
"260","Rico","Sergio","Fulham","Goalkeeper",1,3,"0.33","0.50"
"261","Henderson","Jordan","Liverpool","Midfielder",1,3,"0.33","0.33"
"262","Lallana","Adam","Liverpool","Midfielder",1,3,"0.33","0.33"
"263","Herrera","Ander","Man Utd","Midfielder",1,3,"0.33","0.50"
"264","Bissouma","Yves","Brighton","Midfielder",0.8,2.6,"0.31","0.27"
"265","Armstrong","Stuart","Southampton","Midfielder",1,3.2,"0.31","0.50"
"266","Long","Shane","Southampton","Forward",1,3.2,"0.31","0.50"
"267","Austin","Charlie","Southampton","Forward",1,3.2,"0.31","0.50"
"268","Obafemi","Michael","Southampton","Forward",1,3.2,"0.31","0.50"
"269","Masuaku","Arthur","West Ham","Midfielder",0.8,2.6,"0.31","0.16"
"270","Hendrick","Jeff","Burnley","Midfielder",0.8,2.8,"0.29","0.40"
"271","Arter","Harry","Cardiff","Midfielder",0.8,2.8,"0.29","0.27"
"272","Okazaki","Shinji","Leicester","Forward",0.8,2.8,"0.29","0.27"
"273","Gosling","Dan","Bournemouth","Midfielder",1,3.6,"0.28","0.25"
"274","Kolasinac","Sead","Arsenal","Defender",0.8,3,"0.27","0.27"
"275","Guendouzi","Matteo","Arsenal","Midfielder",0.8,3,"0.27","0.27"
"276","Odoi","Denis","Fulham","Defender",0.8,3,"0.27","0.40"
"277","Johansen","Stefan","Fulham","Midfielder",0.8,3,"0.27","0.40"
"278","Le Marchand","Maxime","Fulham","Defender",0.8,3,"0.27","0.40"
"279","Keita","Naby","Liverpool","Midfielder",0.8,3,"0.27","0.27"
"280","Shaw","Luke","Man Utd","Defender",0.8,3,"0.27","0.40"
"281","Dembélé","Mousa","Spurs","Midfielder",0.8,3,"0.27","0.20"
"282","Alli","Bamidele","Spurs","Midfielder",0.8,3,"0.27","0.20"
"283","Wanyama","Victor","Spurs","Midfielder",0.8,3,"0.27","0.20"
"284","Gray","Andre","Watford","Forward",0.8,3.4,"0.24","0.20"
"285","Pröpper","Davy","Brighton","Midfielder",0.6,2.6,"0.23","0.20"
"286","Locadia","Jürgen","Brighton","Forward",0.6,2.6,"0.23","0.20"
"287","Yarmolenko","Andriy","West Ham","Midfielder",0.6,2.6,"0.23","0.12"
"288","Ibe","Jordon","Bournemouth","Midfielder",0.8,3.6,"0.22","0.20"
"289","Vydra","Matej","Burnley","Forward",0.6,2.8,"0.21","0.30"
"290","Iborra","Vicente","Leicester","Midfielder",0.6,2.8,"0.21","0.20"
"291","Sørloth","Alexander","Crystal Palace","Forward",0.6,3,"0.20","0.15"
"292","Fellaini","Marouane","Man Utd","Midfielder",0.6,3,"0.20","0.30"
"293","Lingard","Jesse","Man Utd","Midfielder",0.6,3,"0.20","0.30"
"294","Rodrigues de Paula Santos","Frederico","Man Utd","Midfielder",0.6,3,"0.20","0.30"
"295","Eriksen","Christian","Spurs","Midfielder",0.6,3,"0.20","0.15"
"296","Foden","Phil","Man City","Midfielder",0.6,3.2,"0.19","0.20"
"297","de Jesus","Gabriel Fernando","Man City","Forward",0.6,3.2,"0.19","0.20"
"298","Yoshida","Maya","Southampton","Defender",0.6,3.2,"0.19","0.30"
"299","Ward-Prowse","James","Southampton","Midfielder",0.6,3.2,"0.19","0.30"
"300","Romeu Vidal","Oriol","Southampton","Midfielder",0.6,3.2,"0.19","0.30"
"301","Fàbregas","Cesc","Chelsea","Midfielder",0.6,3.4,"0.18","0.15"
"302","Deeney","Troy","Watford","Forward",0.6,3.4,"0.18","0.15"
"303","Atsu","Christian","Newcastle","Midfielder",0.4,2.4,"0.17","0.20"
"304","Mato Sanmartín","Jose Luis","Newcastle","Forward",0.4,2.4,"0.17","0.20"
"305","Andone","Florin","Brighton","Forward",0.4,2.6,"0.15","0.13"
"306","Ogbonna","Angelo","West Ham","Defender",0.4,2.6,"0.15","0.08"
"307","Bonatini","Bonatini Lohner Maia","Wolves","Forward",0.4,2.6,"0.15","0.20"
"308","Gibbs-White","Morgan","Wolves","Midfielder",0.4,2.6,"0.15","0.20"
"309","Damour","Loïc","Cardiff","Midfielder",0.4,2.8,"0.14","0.13"
"310","Ward","Danny","Cardiff","Midfielder",0.4,2.8,"0.14","0.13"
"311","Bacuna","Juninho","Huddersfield","Midfielder",0.4,2.8,"0.14","0.13"
"312","Söyüncü","Caglar","Leicester","Defender",0.4,2.8,"0.14","0.13"
"313","Lichtsteiner","Stephan","Arsenal","Defender",0.4,3,"0.13","0.13"
"314","McDonald","Kevin","Fulham","Midfielder",0.4,3,"0.13","0.20"
"315","Kamara","Aboubakar","Fulham","Forward",0.4,3,"0.13","0.20"
"316","Christie","Cyrus","Fulham","Defender",0.4,3,"0.13","0.20"
"317","Moreno","Alberto","Liverpool","Defender",0.4,3,"0.13","0.13"
"318","Sturridge","Daniel","Liverpool","Forward",0.4,3,"0.13","0.13"
"319","Kenny","Jonjoe","Everton","Defender",0.4,3.4,"0.12","0.20"
"320","De Bruyne","Kevin","Man City","Midfielder",0.4,3.2,"0.12","0.13"
"321","Chalobah","Nathaniel","Watford","Midfielder",0.4,3.4,"0.12","0.10"
"322","Defoe","Jermain","Bournemouth","Forward",0.4,3.6,"0.11","0.10"
"323","Fernandes da Silva Junior","Bernardo","Brighton","Defender",0.2,2.6,"0.08","0.07"
"324","Montoya","Martín","Brighton","Defender",0.2,2.6,"0.08","0.07"
"325","Clark","Ciaran","Newcastle","Defender",0.2,2.4,"0.08","0.10"
"326","Manquillo","Javier","Newcastle","Defender",0.2,2.4,"0.08","0.10"
"327","Murphy","Jacob","Newcastle","Midfielder",0.2,2.4,"0.08","0.10"
"328","Hayden","Isaac","Newcastle","Midfielder",0.2,2.4,"0.08","0.10"
"329","Schär","Fabian","Newcastle","Defender",0.2,2.4,"0.08","0.10"
"330","Fredericks","Ryan","West Ham","Defender",0.2,2.6,"0.08","0.04"
"331","Noble","Mark","West Ham","Midfielder",0.2,2.6,"0.08","0.04"
"332","Pérez","Lucas","West Ham","Forward",0.2,2.6,"0.08","0.04"
"333","Saïss","Romain","Wolves","Defender",0.2,2.6,"0.08","0.10"
"334","Silva Nascimento Vinagre","Rúben Gonçalo","Wolves","Defender",0.2,2.6,"0.08","0.10"
"335","Peltier","Lee","Cardiff","Defender",0.2,2.8,"0.07","0.07"
